User_Id,Recency,Frequency,Total_Spend,Avg_Transaction_Value,Std_Transaction_Value,Min_Transaction_Value,Max_Transaction_Value,Total_Points,Avg_Points,Customer_Age,Max_Trx_Rank,Num_Merchants,Num_Categories,Spending_Consistency,Points_Per_Spend,Customer_Lifetime,Trx_Frequency_Per_Day,Avg_Days_Between_Trx,Merchant_Diversity_Ratio,Category_Diversity_Ratio,Trx_Value_Range,Has_High_Value_Trx,Engagement_Score,Spend_Electronics,Spend_FandB,Spend_Fashion,Spend_Grocery,Spend_Health_and_Beauty,Spend_Other,Spend_Transportaion,Pref_Electronics,Pref_FandB,Pref_Fashion,Pref_Grocery,Pref_Health_and_Beauty,Pref_Other,Pref_Transportaion,Spend_Merchant_8,Spend_Merchant_3,Spend_Merchant_54,Spend_Merchant_7,Spend_Merchant_29,Spend_Merchant_26,Spend_Merchant_33,Spend_Merchant_40,Spend_Merchant_13,Spend_Merchant_22,Favorite_Merchant,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,RFM_Segment,RFM_Category
0,281,1,442.7,442.7,0.0,442.7,442.7,4427,4427.0,281,1,1,1,,10.0,0,1.0,0.0,1.0,1.0,0.0,1,0.1324604293243419,0.0,442.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1,1,5,2.4,115,Others
1,34,1,249.0,249.0,0.0,249.0,249.0,2490,2490.0,34,1,1,1,,10.0,0,1.0,0.0,1.0,1.0,0.0,0,0.20442539365897902,0.0,0.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,0.0,0.0,29.0,5,1,3,2.9,513,Promising
2,236,1,300.0,300.0,0.0,300.0,300.0,3000,3000.0,236,1,1,1,,10.0,0,1.0,0.0,1.0,1.0,0.0,0,0.14531135579555274,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,33.0,2,1,4,2.3499999999999996,214,Others
3,320,1,162.0,162.0,0.0,162.0,162.0,1620,1620.0,320,1,1,1,,10.0,0,1.0,0.0,1.0,1.0,0.0,0,0.12034375150466167,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,29.0,1,1,2,1.3499999999999999,112,Hibernating
4,407,1,70.0,70.0,0.0,70.0,70.0,700,700.0,407,1,1,1,,10.0,0,1.0,0.0,1.0,1.0,0.0,0,0.09460777288649187,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1,1,1,0.9999999999999999,111,Hibernating
5,23,1,153.6,153.6,0.0,153.6,153.6,1536,1536.0,23,1,1,1,,10.0,0,1.0,0.0,1.0,1.0,0.0,0,0.20742018472046286,0.0,0.0,0.0,153.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,153.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5,1,2,2.55,512,New Customers
6,195,1,270.0,270.0,0.0,270.0,270.0,2700,2700.0,195,1,1,1,,10.0,0,1.0,0.0,1.0,1.0,0.0,0,0.15726216985701272,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,29.0,3,1,4,2.65,314,Promising
7,300,1,238.8,238.8,0.0,238.8,238.8,2388,2388.0,300,1,1,1,,10.0,0,1.0,0.0,1.0,1.0,0.0,0,0.12639482879764666,0.0,0.0,0.0,238.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,238.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,1,3,1.6999999999999997,113,Others
8,137,2,986.0,493.0,434.16356364854016,186.0,800.0,9860,4930.0,137,2,1,1,0.0022979865125096963,10.0,0,2.0,0.0,0.5,0.5,614.0,1,0.1897978971577004,0.0,0.0,0.0,986.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3,1,5,3.0,315,Promising
9,269,1,103.0,103.0,0.0,103.0,103.0,1030,1030.0,269,1,1,1,,10.0,0,1.0,0.0,1.0,1.0,0.0,0,0.1351568920816425,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2,1,1,1.2999999999999998,211,Hibernating
