User_Id,KMeans_Cluster,Cluster_Name,RFM_Score,Recency,Frequency,Total_Spend
0,1,😴 At-Risk/Dormant,2.4,281,1,442.7
1,3,🆕 Recent Shoppers,2.9,34,1,249.0
2,1,😴 At-Risk/Dormant,2.35,236,1,300.0
3,1,😴 At-Risk/Dormant,1.35,320,1,162.0
4,1,😴 At-Risk/Dormant,1.0,407,1,70.0
5,3,🆕 Recent Shoppers,2.55,23,1,153.6
6,3,🆕 Recent Shoppers,2.65,195,1,270.0
7,1,😴 At-Risk/Dormant,1.6999999999999995,300,1,238.8
8,0,💎 High-Value Loyalists,3.0,137,2,986.0
9,1,😴 At-Risk/Dormant,1.2999999999999998,269,1,103.0
10,0,💎 High-Value Loyalists,3.6,20,5,1169.7
11,1,😴 At-Risk/Dormant,2.05,297,1,329.3
12,1,😴 At-Risk/Dormant,1.65,239,1,182.0
13,0,💎 High-Value Loyalists,3.6,20,4,1224.6
14,0,💎 High-Value Loyalists,2.05,441,2,359.2
15,1,😴 At-Risk/Dormant,1.95,201,1,142.0
16,3,🆕 Recent Shoppers,3.6,15,1,786.0
17,3,🆕 Recent Shoppers,2.6,48,1,208.0
18,3,🆕 Recent Shoppers,3.0,102,2,600.0
19,1,😴 At-Risk/Dormant,2.0,253,1,219.0
20,1,😴 At-Risk/Dormant,2.4,319,1,740.0
21,3,🆕 Recent Shoppers,2.65,197,1,340.0
22,3,🆕 Recent Shoppers,3.0,159,1,984.5
23,3,🆕 Recent Shoppers,2.95,61,1,356.0
24,0,💎 High-Value Loyalists,2.7,258,2,700.0
25,0,💎 High-Value Loyalists,3.25,20,2,304.7
26,0,💎 High-Value Loyalists,2.95,48,2,288.0
27,1,😴 At-Risk/Dormant,1.6999999999999995,270,1,218.0
28,1,😴 At-Risk/Dormant,1.6999999999999995,299,1,210.0
29,0,💎 High-Value Loyalists,2.55,27,2,161.0
30,1,😴 At-Risk/Dormant,1.35,399,1,168.0
31,3,🆕 Recent Shoppers,2.3,138,1,246.0
32,1,😴 At-Risk/Dormant,2.0,262,1,210.0
33,1,😴 At-Risk/Dormant,1.35,421,1,176.0
34,3,🆕 Recent Shoppers,2.95,88,1,330.0
35,0,💎 High-Value Loyalists,3.6,34,3,1706.0
36,3,🆕 Recent Shoppers,2.55,20,1,150.0
37,1,😴 At-Risk/Dormant,1.35,326,1,142.0
38,1,😴 At-Risk/Dormant,2.0,225,1,196.7
39,3,🆕 Recent Shoppers,2.6,68,1,230.0
40,1,😴 At-Risk/Dormant,2.35,263,1,400.0
41,1,😴 At-Risk/Dormant,2.0,238,1,204.0
42,3,🆕 Recent Shoppers,2.95,47,1,278.0
43,3,🆕 Recent Shoppers,2.65,112,1,340.0
44,3,🆕 Recent Shoppers,2.55,10,1,162.0
45,1,😴 At-Risk/Dormant,1.95,173,1,184.0
46,1,😴 At-Risk/Dormant,2.7,259,1,468.7
47,3,🆕 Recent Shoppers,2.9,17,1,200.0
48,3,🆕 Recent Shoppers,2.95,36,1,336.0
49,3,🆕 Recent Shoppers,3.3,52,2,906.0
50,3,🆕 Recent Shoppers,2.65,133,1,380.0
51,3,🆕 Recent Shoppers,2.3,150,1,194.0
52,3,🆕 Recent Shoppers,2.65,117,1,382.0
53,3,🆕 Recent Shoppers,2.6,79,1,190.0
54,1,😴 At-Risk/Dormant,1.6,187,1,118.0
