Cluster,Cluster_Name,Merchant_Id,Transaction_Count,Total_Revenue,Avg_Transaction,Merchant_Score
0,💎 High-Value Loyalists,8,5916,1519548.4,256.85402298850573,3578.752463486959
0,💎 High-Value Loyalists,54,1706,506869.1,297.1096717467761,1033.3242594776302
0,💎 High-Value Loyalists,3,1369,394006.2,287.8058436815194,828.9589901309728
0,💎 High-Value Loyalists,7,1205,361291.8,299.8272199170124,729.9313659292707
0,💎 High-Value Loyalists,29,720,264103.2,366.81,437.06680727957666
0,💎 High-Value Loyalists,26,578,120154.8,207.880276816609,349.1051640999279
0,💎 High-Value Loyalists,13,391,183427.8,469.1248081841432,238.11905358328383
0,💎 High-Value Loyalists,40,279,85201.0,305.3799283154122,169.03457711616977
0,💎 High-Value Loyalists,33,243,56093.5,230.83744855967078,146.8761511187177
0,💎 High-Value Loyalists,22,225,52836.3,234.828,136.01366189226746
0,💎 High-Value Loyalists,35,49,4020.0,82.04081632653062,29.477123508022235
0,💎 High-Value Loyalists,9,40,30483.4,762.085,24.58482257324503
0,💎 High-Value Loyalists,37,38,13586.0,357.5263157894737,23.060646761191567
0,💎 High-Value Loyalists,43,35,23820.9,680.5971428571429,21.457002828917133
0,💎 High-Value Loyalists,47,26,10976.0,422.15384615384613,15.810574035833845
0,💎 High-Value Loyalists,46,22,9729.0,442.22727272727275,13.386650400385156
0,💎 High-Value Loyalists,4,19,7424.0,390.7368421052632,11.54242908546196
0,💎 High-Value Loyalists,52,13,3432.0,264.0,7.865842756102565
0,💎 High-Value Loyalists,51,10,1632.0,163.2,6.031309842062758
0,💎 High-Value Loyalists,44,9,6412.2,712.4666666666667,5.523017750781139
0,💎 High-Value Loyalists,2,9,3455.0,383.8888888888889,5.466284010004185
0,💎 High-Value Loyalists,55,9,2281.0,253.44444444444446,5.443760876069333
0,💎 High-Value Loyalists,19,7,4519.9,645.6999999999999,4.28671406564918
0,💎 High-Value Loyalists,25,7,2730.0,390.0,4.252374919627041
0,💎 High-Value Loyalists,12,7,2568.9,366.9857142857143,4.249284223820478
0,💎 High-Value Loyalists,21,7,1560.0,222.85714285714286,4.229928525501166
0,💎 High-Value Loyalists,17,6,1816.0,302.6666666666667,3.634839873275716
0,💎 High-Value Loyalists,31,6,302.5,50.416666666666664,3.6058034480539116
0,💎 High-Value Loyalists,28,5,2399.0,479.8,3.046024700434165
0,💎 High-Value Loyalists,16,5,1442.0,288.4,3.0276647011363345
0,💎 High-Value Loyalists,38,4,694.0,173.5,2.41331435685757
0,💎 High-Value Loyalists,18,4,281.0,70.25,2.4053909715806587
0,💎 High-Value Loyalists,23,3,2148.0,716.0,1.8412092774208362
0,💎 High-Value Loyalists,42,3,1500.0,500.0,1.8287774283665057
0,💎 High-Value Loyalists,15,2,928.0,464.0,1.2178036356827449
0,💎 High-Value Loyalists,27,2,882.0,441.0,1.2169211278795053
0,💎 High-Value Loyalists,36,2,550.0,275.0,1.2105517237343855
0,💎 High-Value Loyalists,6,2,104.0,52.0,1.201995235033411
0,💎 High-Value Loyalists,32,2,4.0,2.0,1.2000767398089773
0,💎 High-Value Loyalists,45,2,4.0,2.0,1.2000767398089773
0,💎 High-Value Loyalists,56,2,4.0,2.0,1.2000767398089773
0,💎 High-Value Loyalists,11,1,769.0,769.0,0.6147532282758953
0,💎 High-Value Loyalists,48,1,274.0,274.0,0.6052566769149483
0,💎 High-Value Loyalists,50,1,200.0,200.0,0.6038369904488674
0,💎 High-Value Loyalists,41,1,199.0,199.0,0.6038178054966231
0,💎 High-Value Loyalists,0,1,198.0,198.0,0.6037986205443787
0,💎 High-Value Loyalists,49,1,60.0,60.0,0.6011510971346602
0,💎 High-Value Loyalists,1,1,2.0,2.0,0.6000383699044887
0,💎 High-Value Loyalists,5,1,2.0,2.0,0.6000383699044887
0,💎 High-Value Loyalists,20,1,2.0,2.0,0.6000383699044887
0,💎 High-Value Loyalists,24,1,2.0,2.0,0.6000383699044887
0,💎 High-Value Loyalists,30,1,2.0,2.0,0.6000383699044887
1,😴 At-Risk/Dormant,8,5343,1028207.3,192.44007112109304,3225.5261079477787
1,😴 At-Risk/Dormant,3,3646,683491.0,187.46324739440482,2200.712742194434
1,😴 At-Risk/Dormant,7,1365,242203.2,177.43824175824176,823.6466568254257
1,😴 At-Risk/Dormant,54,1301,221711.2,170.41598770176788,784.8535187840347
1,😴 At-Risk/Dormant,29,914,182599.0,199.7800875273523,551.9031530948637
1,😴 At-Risk/Dormant,40,592,111324.2,188.04763513513512,357.335749460639
1,😴 At-Risk/Dormant,26,510,83700.3,164.11823529411765,307.6057862583367
1,😴 At-Risk/Dormant,33,462,79202.2,171.43333333333334,278.71949042464644
1,😴 At-Risk/Dormant,13,232,47244.4,203.6396551724138,140.10638155781237
1,😴 At-Risk/Dormant,22,168,29072.4,173.05,101.35775260562826
1,😴 At-Risk/Dormant,9,86,16878.3,196.2593023255814,51.923809379465595
1,😴 At-Risk/Dormant,4,69,13656.0,197.91304347826087,41.66198970784867
1,😴 At-Risk/Dormant,35,65,7692.9,118.35230769230769,39.14758791912046
1,😴 At-Risk/Dormant,46,39,10386.1,266.31025641025644,23.59925683250491
1,😴 At-Risk/Dormant,43,36,9218.0,256.05555555555554,21.7768468897883
1,😴 At-Risk/Dormant,37,35,6290.0,179.71428571428572,21.120673349616883
1,😴 At-Risk/Dormant,47,17,2506.0,147.41176470588235,10.248077490324308
1,😴 At-Risk/Dormant,44,14,3573.6,255.25714285714284,8.468559345340363
1,😴 At-Risk/Dormant,17,8,1293.0,161.625,4.824806143251928
1,😴 At-Risk/Dormant,51,8,1170.2,146.275,4.822450231116323
1,😴 At-Risk/Dormant,28,6,1616.9,269.48333333333335,3.6310201492838687
1,😴 At-Risk/Dormant,2,5,1880.0,376.0,3.036067710219354
1,😴 At-Risk/Dormant,25,5,1190.0,238.0,3.0228300931707612
1,😴 At-Risk/Dormant,31,5,1039.5,207.9,3.0199427578579887
1,😴 At-Risk/Dormant,38,5,984.0,196.8,3.0188779930084277
1,😴 At-Risk/Dormant,49,3,569.0,189.66666666666666,1.8109162378270278
1,😴 At-Risk/Dormant,11,3,524.0,174.66666666666666,1.8100529149760325
1,😴 At-Risk/Dormant,24,2,994.0,497.0,1.2190698425308713
1,😴 At-Risk/Dormant,19,2,449.0,224.5,1.2086140435577073
1,😴 At-Risk/Dormant,1,1,472.4,472.4,0.6090629714402249
1,😴 At-Risk/Dormant,0,1,240.0,240.0,0.604604388538641
1,😴 At-Risk/Dormant,39,1,238.0,238.0,0.6045660186341523
1,😴 At-Risk/Dormant,6,1,188.0,188.0,0.6036067710219354
1,😴 At-Risk/Dormant,16,1,150.0,150.0,0.6028777428366505
