User_Id,Customer_Age,Trx_Vlu,Trx_Age,Trx_Rank,Points,Category In English,Mer_Id
21053,362,2014.0,362,1,20140,Fashion,0
26472,368,1120.0,371,1,11200,Fashion,0
26472,368,850.0,368,2,8500,Fashion,0
27075,34,198.0,558,1,1980,Fashion,0
27417,413,240.0,413,1,2400,Fashion,0
1447,34,1674.0,34,1,16740,F&B,1
2709,33,582.0,33,1,5820,F&B,1
3303,233,472.4,233,1,4724,F&B,1
7026,14,156.5,14,1,1565,F&B,1
10231,27,416.5,27,1,4165,F&B,1
10975,47,949.1,47,1,9491,F&B,1
13519,1,2.0,39,1,20,F&B,1
14734,37,350.7,37,1,3507,F&B,1
14823,5,758.0,5,1,7580,F&B,1
16503,55,595.2,55,1,5952,F&B,1
31199,102,200.0,102,1,2000,F&B,1
4594,419,140.0,419,1,1400,Other,2
7039,306,400.0,306,1,4000,Other,2
10038,257,120.0,503,1,1200,Other,2
10038,257,268.0,419,2,2680,Other,2
10840,13,235.0,13,1,2350,Other,2
21265,321,720.0,328,1,7200,Other,2
21265,321,1080.0,321,2,10800,Other,2
21702,355,170.0,355,1,1700,Other,2
24999,27,2.0,356,1,20,Other,2
26257,29,940.0,29,1,9400,Other,2
26333,41,235.0,41,1,2350,Other,2
26333,41,470.0,41,2,4700,Other,2
26437,334,800.0,334,1,8000,Other,2
26520,262,360.0,262,1,3600,Other,2
29328,268,200.0,454,1,2000,Other,2
33164,304,370.0,304,1,3700,Other,2
7,300,238.8,300,1,2388,Grocery,3
24,258,350.0,261,1,3500,Grocery,3
24,258,350.0,258,2,3500,Grocery,3
38,225,196.7,225,1,1967,Grocery,3
46,259,468.7,259,1,4687,Grocery,3
57,271,194.7,271,1,1947,Grocery,3
59,311,160.0,311,1,1600,Grocery,3
60,111,292.0,111,1,2920,Grocery,3
61,266,766.9,266,1,7669,Grocery,3
74,292,94.0,292,1,940,Grocery,3
76,237,439.9,237,1,4399,Grocery,3
77,287,258.9,287,1,2589,Grocery,3
86,243,32.9,270,1,329,Grocery,3
86,243,71.0,243,2,710,Grocery,3
95,6,442.0,254,1,4420,Grocery,3
97,111,558.2,111,1,5582,Grocery,3
100,168,175.6,168,1,1756,Grocery,3
110,269,153.0,269,1,1530,Grocery,3
112,63,150.0,305,1,1500,Grocery,3
116,276,171.7,276,1,1717,Grocery,3
124,234,175.8,234,1,1758,Grocery,3
125,201,711.3,201,1,7113,Grocery,3
133,261,164.1,261,1,1641,Grocery,3
137,91,377.6,91,1,3776,Grocery,3
143,233,196.0,233,1,1960,Grocery,3
145,79,638.4,302,1,6384,Grocery,3
145,79,638.0,79,2,6380,Grocery,3
154,300,132.0,300,1,1320,Grocery,3
155,279,170.0,279,1,1700,Grocery,3
156,73,198.5,73,1,1985,Grocery,3
161,251,540.0,251,1,5400,Grocery,3
171,292,212.6,292,1,2126,Grocery,3
175,296,83.3,296,1,833,Grocery,3
195,307,92.5,307,1,925,Grocery,3
211,260,2883.0,260,1,28830,Grocery,3
215,153,239.9,153,1,2399,Grocery,3
222,256,53.0,256,1,530,Grocery,3
224,224,192.0,224,1,1920,Grocery,3
231,250,364.0,250,1,3640,Grocery,3
232,136,222.8,136,1,2228,Grocery,3
243,51,160.0,51,1,1600,Grocery,3
246,244,207.8,244,1,2078,Grocery,3
249,77,139.2,77,1,1392,Grocery,3
273,156,154.2,156,1,1542,Grocery,3
276,285,184.0,285,1,1840,Grocery,3
277,188,229.0,188,1,2290,Grocery,3
285,245,494.0,245,1,4940,Grocery,3
288,264,210.0,264,1,2100,Grocery,3
302,309,500.0,309,1,5000,Grocery,3
306,164,274.5,164,1,2745,Grocery,3
309,297,104.0,297,1,1040,Grocery,3
310,57,153.7,57,1,1537,Grocery,3
326,260,122.5,260,1,1225,Grocery,3
327,265,168.3,265,1,1683,Grocery,3
330,236,170.0,236,1,1700,Grocery,3
340,126,163.6,126,1,1636,Grocery,3
354,60,1162.0,76,1,11620,Grocery,3
354,60,144.0,60,2,1440,Grocery,3
362,225,394.0,225,1,3940,Grocery,3
369,315,139.8,315,1,1398,Grocery,3
386,58,232.0,285,1,2320,Grocery,3
391,232,232.0,232,1,2320,Grocery,3
392,55,284.6,55,1,2846,Grocery,3
398,299,523.5,299,1,5235,Grocery,3
408,102,262.0,102,1,2620,Grocery,3
413,225,120.0,225,1,1200,Grocery,3
430,44,80.0,44,1,800,Grocery,3
431,281,146.3,281,1,1463,Grocery,3
435,272,314.0,272,1,3140,Grocery,3
442,144,118.0,144,1,1180,Grocery,3
449,101,186.4,101,1,1864,Grocery,3
456,145,106.0,145,1,1060,Grocery,3
457,303,216.0,303,1,2160,Grocery,3
464,233,500.0,233,1,5000,Grocery,3
483,127,1816.9,127,1,18169,Grocery,3
489,271,150.0,271,1,1500,Grocery,3
492,40,278.0,138,1,2780,Grocery,3
495,261,90.0,261,1,900,Grocery,3
506,299,79.2,299,1,792,Grocery,3
507,211,172.0,211,1,1720,Grocery,3
513,20,138.0,155,1,1380,Grocery,3
513,20,215.2,20,2,2152,Grocery,3
515,271,197.5,271,1,1975,Grocery,3
522,261,96.0,261,1,960,Grocery,3
532,20,1000.0,176,1,10000,Grocery,3
532,20,800.0,138,2,8000,Grocery,3
532,20,300.0,138,3,3000,Grocery,3
532,20,700.0,68,4,7000,Grocery,3
556,308,171.0,308,1,1710,Grocery,3
562,163,114.0,163,1,1140,Grocery,3
563,45,447.0,193,1,4470,Grocery,3
565,269,288.0,269,1,2880,Grocery,3
572,161,1501.7,161,1,15017,Grocery,3
575,235,660.2,235,1,6602,Grocery,3
578,34,320.0,34,1,3200,Grocery,3
579,125,334.0,125,1,3340,Grocery,3
600,75,218.0,75,1,2180,Grocery,3
606,34,94.0,251,1,940,Grocery,3
606,34,50.0,34,2,500,Grocery,3
610,223,117.0,223,1,1170,Grocery,3
613,121,205.4,121,1,2054,Grocery,3
614,256,213.8,256,1,2138,Grocery,3
616,258,159.8,258,1,1598,Grocery,3
617,264,109.6,264,1,1096,Grocery,3
618,264,157.0,264,1,1570,Grocery,3
623,118,298.0,274,1,2980,Grocery,3
630,211,67.6,298,1,676,Grocery,3
630,211,40.0,211,2,400,Grocery,3
631,152,160.0,152,1,1600,Grocery,3
658,121,297.8,121,1,2978,Grocery,3
659,52,258.0,52,1,2580,Grocery,3
668,303,124.0,303,1,1240,Grocery,3
681,253,252.0,253,1,2520,Grocery,3
682,292,157.0,292,1,1570,Grocery,3
692,124,432.0,124,1,4320,Grocery,3
695,258,297.6,258,1,2976,Grocery,3
703,267,342.0,267,1,3420,Grocery,3
704,74,170.9,74,1,1709,Grocery,3
728,78,2358.7,78,1,23587,Grocery,3
731,34,40.0,266,1,400,Grocery,3
731,34,165.3,34,2,1653,Grocery,3
733,245,380.0,245,1,3800,Grocery,3
737,260,170.6,260,1,1706,Grocery,3
744,216,182.0,216,1,1820,Grocery,3
755,20,146.4,265,1,1464,Grocery,3
758,258,109.0,258,1,1090,Grocery,3
763,20,2693.0,255,1,26930,Grocery,3
763,20,2595.2,46,2,25952,Grocery,3
765,19,170.8,179,1,1708,Grocery,3
767,213,320.0,213,1,3200,Grocery,3
782,55,190.0,161,1,1900,Grocery,3
782,55,900.0,55,2,9000,Grocery,3
793,68,400.0,68,1,4000,Grocery,3
805,18,662.1,298,1,6621,Grocery,3
805,18,328.0,197,2,3280,Grocery,3
813,169,194.3,169,1,1943,Grocery,3
827,249,171.9,249,1,1719,Grocery,3
836,193,134.0,193,1,1340,Grocery,3
838,194,142.6,194,1,1426,Grocery,3
839,240,100.0,252,1,1000,Grocery,3
839,240,110.6,240,2,1106,Grocery,3
840,104,290.0,104,1,2900,Grocery,3
850,197,34.0,200,1,340,Grocery,3
850,197,6.0,197,2,60,Grocery,3
851,124,309.7,124,1,3097,Grocery,3
868,166,175.4,166,1,1754,Grocery,3
869,269,107.1,269,1,1071,Grocery,3
874,20,123.6,270,1,1236,Grocery,3
874,20,46.3,154,2,463,Grocery,3
877,58,479.8,192,1,4798,Grocery,3
877,58,188.0,58,2,1880,Grocery,3
888,143,94.0,143,1,940,Grocery,3
892,230,120.8,230,1,1208,Grocery,3
897,46,186.8,46,1,1868,Grocery,3
905,266,294.3,266,1,2943,Grocery,3
913,34,43.6,34,1,436,Grocery,3
914,78,310.0,78,1,3100,Grocery,3
927,155,136.0,155,1,1360,Grocery,3
935,250,115.0,250,1,1150,Grocery,3
943,52,162.0,52,1,1620,Grocery,3
949,31,289.7,31,1,2897,Grocery,3
958,257,1081.0,257,1,10810,Grocery,3
980,138,167.5,138,1,1675,Grocery,3
982,256,64.0,256,1,640,Grocery,3
983,96,200.0,96,1,2000,Grocery,3
983,96,89.1,96,2,891,Grocery,3
992,282,246.0,282,1,2460,Grocery,3
994,258,92.4,258,1,924,Grocery,3
1004,7,211.7,7,1,2117,Grocery,3
1009,256,177.2,256,1,1772,Grocery,3
1010,275,100.0,275,1,1000,Grocery,3
1023,135,156.0,135,1,1560,Grocery,3
1024,55,232.0,55,1,2320,Grocery,3
1028,40,297.7,40,1,2977,Grocery,3
1046,148,191.5,148,1,1915,Grocery,3
1051,279,125.3,279,1,1253,Grocery,3
1065,253,95.0,253,1,950,Grocery,3
1068,267,100.0,267,1,1000,Grocery,3
1082,2,222.8,236,1,2228,Grocery,3
1084,143,348.0,143,1,3480,Grocery,3
1085,261,51.7,261,1,517,Grocery,3
1087,118,427.5,118,1,4275,Grocery,3
1097,227,194.0,227,1,1940,Grocery,3
1106,258,175.8,258,1,1758,Grocery,3
1119,35,165.6,35,1,1656,Grocery,3
1126,304,208.3,304,1,2083,Grocery,3
1135,165,190.5,165,1,1905,Grocery,3
1146,113,162.5,113,1,1625,Grocery,3
1147,103,198.8,103,1,1988,Grocery,3
1159,190,113.4,190,1,1134,Grocery,3
1167,268,259.3,268,1,2593,Grocery,3
1172,28,180.9,254,1,1809,Grocery,3
1175,27,256.9,27,1,2569,Grocery,3
1205,298,169.4,298,1,1694,Grocery,3
1209,255,153.6,255,1,1536,Grocery,3
1211,212,112.0,212,1,1120,Grocery,3
1215,256,215.0,256,1,2150,Grocery,3
1255,266,167.6,266,1,1676,Grocery,3
1258,187,255.1,187,1,2551,Grocery,3
1266,19,430.5,19,1,4305,Grocery,3
1270,279,172.0,279,1,1720,Grocery,3
1274,258,122.6,258,1,1226,Grocery,3
1282,214,282.7,214,1,2827,Grocery,3
1287,110,416.0,110,1,4160,Grocery,3
1291,94,410.9,94,1,4109,Grocery,3
1299,219,174.0,219,1,1740,Grocery,3
1320,290,170.5,290,1,1705,Grocery,3
1336,289,94.5,289,1,945,Grocery,3
1337,301,206.0,301,1,2060,Grocery,3
1342,13,51.4,258,1,514,Grocery,3
1348,41,214.0,294,1,2140,Grocery,3
1360,210,112.0,210,1,1120,Grocery,3
1361,227,484.0,227,1,4840,Grocery,3
1362,286,194.9,286,1,1949,Grocery,3
1381,34,213.8,34,1,2138,Grocery,3
1384,58,285.4,58,1,2854,Grocery,3
1389,195,170.0,195,1,1700,Grocery,3
1399,255,112.0,255,1,1120,Grocery,3
1401,136,178.0,136,1,1780,Grocery,3
1402,237,150.7,237,1,1507,Grocery,3
1407,292,146.6,292,1,1466,Grocery,3
1409,155,183.5,155,1,1835,Grocery,3
1416,98,70.0,98,1,700,Grocery,3
1435,121,192.4,121,1,1924,Grocery,3
1442,68,160.0,68,1,1600,Grocery,3
1448,297,69.3,297,1,693,Grocery,3
1454,290,259.7,290,1,2597,Grocery,3
1462,80,244.8,80,1,2448,Grocery,3
1467,244,165.5,244,1,1655,Grocery,3
1471,27,249.9,247,1,2499,Grocery,3
1476,178,219.4,178,1,2194,Grocery,3
1478,235,84.0,235,1,840,Grocery,3
1482,255,119.6,255,1,1196,Grocery,3
1485,208,303.5,208,1,3035,Grocery,3
1487,259,252.7,259,1,2527,Grocery,3
1503,172,169.7,172,1,1697,Grocery,3
1507,216,285.0,216,1,2850,Grocery,3
1508,60,204.0,60,1,2040,Grocery,3
1515,153,1127.8,282,1,11278,Grocery,3
1515,153,240.0,259,2,2400,Grocery,3
1515,153,305.2,229,3,3052,Grocery,3
1515,153,836.0,153,4,8360,Grocery,3
1518,227,162.4,227,1,1624,Grocery,3
1519,257,43.0,257,1,430,Grocery,3
1519,257,130.3,257,2,1303,Grocery,3
1522,20,149.5,304,1,1495,Grocery,3
1523,119,201.1,119,1,2011,Grocery,3
1539,21,184.0,214,1,1840,Grocery,3
1540,251,143.4,251,1,1434,Grocery,3
1542,110,195.6,110,1,1956,Grocery,3
1558,77,176.2,77,1,1762,Grocery,3
1561,256,12.6,256,1,126,Grocery,3
1567,124,151.6,124,1,1516,Grocery,3
1568,49,202.7,49,1,2027,Grocery,3
1574,291,260.0,291,1,2600,Grocery,3
1593,302,131.4,302,1,1314,Grocery,3
1598,49,121.4,294,1,1214,Grocery,3
1602,123,753.9,123,1,7539,Grocery,3
1610,181,150.0,181,1,1500,Grocery,3
1613,280,150.5,280,1,1505,Grocery,3
1614,164,463.3,164,1,4633,Grocery,3
1624,17,164.6,17,1,1646,Grocery,3
1628,114,200.0,114,1,2000,Grocery,3
1630,230,140.0,230,1,1400,Grocery,3
1635,228,112.9,228,1,1129,Grocery,3
1648,271,221.0,271,1,2210,Grocery,3
1655,297,240.8,297,1,2408,Grocery,3
1656,210,137.6,210,1,1376,Grocery,3
1659,244,64.0,244,1,640,Grocery,3
1663,254,157.0,254,1,1570,Grocery,3
1667,217,189.4,217,1,1894,Grocery,3
1672,188,165.1,188,1,1651,Grocery,3
1680,169,107.9,169,1,1079,Grocery,3
1683,242,66.1,242,1,661,Grocery,3
1685,41,224.0,41,1,2240,Grocery,3
1695,185,197.2,185,1,1972,Grocery,3
1697,180,176.1,180,1,1761,Grocery,3
1699,300,146.6,306,1,1466,Grocery,3
1701,268,32.0,290,1,320,Grocery,3
1701,268,6.0,268,2,60,Grocery,3
1702,229,336.0,301,1,3360,Grocery,3
1702,229,60.0,259,2,600,Grocery,3
1702,229,18.6,229,3,186,Grocery,3
1703,257,133.9,257,1,1339,Grocery,3
1704,255,594.4,255,1,5944,Grocery,3
1709,265,184.6,265,1,1846,Grocery,3
1714,27,403.9,300,1,4039,Grocery,3
1722,102,380.1,102,1,3801,Grocery,3
1723,122,274.0,122,1,2740,Grocery,3
1733,197,165.2,197,1,1652,Grocery,3
1735,209,107.1,209,1,1071,Grocery,3
1740,241,123.3,241,1,1233,Grocery,3
1742,294,281.2,294,1,2812,Grocery,3
1749,306,143.5,306,1,1435,Grocery,3
1757,241,153.2,241,1,1532,Grocery,3
1758,199,133.1,199,1,1331,Grocery,3
1762,93,70.0,93,1,700,Grocery,3
